,Tariff,Acorn category,Acorn group
MAC000007,Standard,ACORN-H,Comfortable
MAC000011,Standard,ACORN-N,Adversity
MAC000022,Standard,ACORN-Q,Adversity
MAC000023,Standard,ACORN-U,ACORN-U
MAC000032,Standard,ACORN-Q,Adversity
MAC000047,Standard,ACORN-Q,Adversity
MAC000058,Standard,ACORN-E,Affluent
MAC000059,Standard,ACORN-H,Comfortable
MAC000069,Standard,ACORN-G,Comfortable
MAC000073,Standard,ACORN-D,Affluent
MAC000111,Standard,ACORN-M,Adversity
MAC000119,Standard,ACORN-H,Comfortable
MAC000120,Standard,ACORN-E,Affluent
MAC000122,Standard,ACORN-E,Affluent
MAC000127,Standard,ACORN-L,Adversity
MAC000128,Standard,ACORN-H,Comfortable
MAC000132,Standard,ACORN-E,Affluent
MAC000137,Standard,ACORN-H,Comfortable
MAC000138,Standard,ACORN-E,Affluent
MAC000148,Standard,ACORN-F,Comfortable
MAC000156,Standard,ACORN-F,Comfortable
MAC000167,Standard,ACORN-F,Comfortable
MAC000174,Standard,ACORN-Q,Adversity
MAC000176,Standard,ACORN-E,Affluent
MAC000181,Standard,ACORN-E,Affluent
MAC000196,Standard,ACORN-Q,Adversity
MAC000200,Standard,ACORN-F,Comfortable
MAC000203,Standard,ACORN-E,Affluent
MAC000214,Standard,ACORN-E,Affluent
MAC000215,Standard,ACORN-F,Comfortable
MAC000216,Standard,ACORN-Q,Adversity
MAC000223,Standard,ACORN-Q,Adversity
MAC000229,Standard,ACORN-F,Comfortable
MAC000271,Standard,ACORN-F,Comfortable
MAC000297,Standard,ACORN-E,Affluent
MAC000306,Standard,ACORN-E,Affluent
MAC000311,Standard,ACORN-D,Affluent
MAC000318,Standard,ACORN-Q,Adversity
MAC000321,Standard,ACORN-E,Affluent
MAC000329,Standard,ACORN-Q,Adversity
MAC000332,Standard,ACORN-E,Affluent
MAC000333,Standard,ACORN-Q,Adversity
MAC000351,Standard,ACORN-E,Affluent
MAC000359,Standard,ACORN-E,Affluent
MAC000361,Standard,ACORN-E,Affluent
MAC000364,Standard,ACORN-Q,Adversity
MAC000365,Standard,ACORN-Q,Adversity
MAC000372,Standard,ACORN-E,Affluent
MAC000373,Standard,ACORN-L,Adversity
MAC000374,Standard,ACORN-E,Affluent
MAC000377,Standard,ACORN-D,Affluent
MAC000380,Standard,ACORN-E,Affluent
MAC000382,Standard,ACORN-H,Comfortable
MAC000385,Standard,ACORN-Q,Adversity
MAC000393,Standard,ACORN-D,Affluent
MAC000394,Standard,ACORN-H,Comfortable
MAC000417,Standard,ACORN-Q,Adversity
MAC000419,Standard,ACORN-E,Affluent
MAC000425,Standard,ACORN-Q,Adversity
MAC000427,Standard,ACORN-O,Adversity
MAC000429,Standard,ACORN-E,Affluent
MAC000434,Standard,ACORN-Q,Adversity
MAC000438,Standard,ACORN-E,Affluent
MAC000445,Standard,ACORN-F,Comfortable
MAC000449,Standard,ACORN-Q,Adversity
MAC000455,Standard,ACORN-D,Affluent
MAC000458,Standard,ACORN-E,Affluent
MAC000469,Standard,ACORN-E,Affluent
MAC000477,Standard,ACORN-M,Adversity
MAC000479,Standard,ACORN-F,Comfortable
MAC000501,Standard,ACORN-F,Comfortable
MAC000504,Standard,ACORN-E,Affluent
MAC000520,Standard,ACORN-J,Comfortable
MAC000530,Standard,ACORN-F,Comfortable
MAC000534,Standard,ACORN-Q,Adversity
MAC000539,Standard,ACORN-F,Comfortable
MAC000548,Standard,ACORN-L,Adversity
MAC000556,Standard,ACORN-Q,Adversity
MAC000574,Standard,ACORN-K,Adversity
MAC000601,Standard,ACORN-K,Adversity
MAC000603,Standard,ACORN-E,Affluent
MAC000608,Standard,ACORN-L,Adversity
MAC000614,Standard,ACORN-H,Comfortable
MAC000615,Standard,ACORN-Q,Adversity
MAC000619,Standard,ACORN-D,Affluent
MAC000638,Standard,ACORN-H,Comfortable
MAC000655,Standard,ACORN-F,Comfortable
MAC000658,Standard,ACORN-L,Adversity
MAC000663,Standard,ACORN-E,Affluent
MAC000690,Standard,ACORN-Q,Adversity
MAC000691,Standard,ACORN-G,Comfortable
MAC000693,Standard,ACORN-E,Affluent
MAC000697,Standard,ACORN-E,Affluent
MAC000698,Standard,ACORN-F,Comfortable
MAC000703,Standard,ACORN-Q,Adversity
MAC000706,Standard,ACORN-E,Affluent
MAC000711,Standard,ACORN-Q,Adversity
MAC000715,Standard,ACORN-D,Affluent
MAC000717,Standard,ACORN-Q,Adversity
MAC000721,Standard,ACORN-F,Comfortable
MAC000726,Standard,ACORN-I,Comfortable
MAC000740,Standard,ACORN-Q,Adversity
MAC000741,Standard,ACORN-D,Affluent
MAC000745,Standard,ACORN-E,Affluent
MAC000748,Standard,ACORN-Q,Adversity
MAC000750,Standard,ACORN-L,Adversity
MAC000752,Standard,ACORN-Q,Adversity
MAC000757,Standard,ACORN-O,Adversity
MAC000761,Standard,ACORN-K,Adversity
MAC000763,Standard,ACORN-L,Adversity
MAC000774,Standard,ACORN-E,Affluent
MAC000777,Standard,ACORN-E,Affluent
MAC000781,Standard,ACORN-Q,Adversity
MAC000788,Standard,ACORN-F,Comfortable
MAC000795,Standard,ACORN-F,Comfortable
MAC000799,Standard,ACORN-F,Comfortable
MAC000802,Standard,ACORN-K,Adversity
MAC000815,Standard,ACORN-D,Affluent
MAC000826,Standard,ACORN-F,Comfortable
MAC000835,Standard,ACORN-G,Comfortable
MAC000842,Standard,ACORN-K,Adversity
MAC000846,Standard,ACORN-J,Comfortable
MAC000848,Standard,ACORN-E,Affluent
MAC000852,Standard,ACORN-K,Adversity
MAC000855,Standard,ACORN-E,Affluent
MAC000883,Standard,ACORN-D,Affluent
MAC000885,Standard,ACORN-J,Comfortable
MAC000886,Standard,ACORN-A,Affluent
MAC000893,Standard,ACORN-L,Adversity
MAC000894,Standard,ACORN-Q,Adversity
MAC000900,Standard,ACORN-G,Comfortable
MAC000905,Standard,ACORN-E,Affluent
MAC000906,Standard,ACORN-Q,Adversity
MAC000912,Standard,ACORN-K,Adversity
MAC000918,Standard,ACORN-E,Affluent
MAC000922,Standard,ACORN-F,Comfortable
MAC000926,Standard,ACORN-Q,Adversity
MAC000927,Standard,ACORN-H,Comfortable
MAC000933,Standard,ACORN-F,Comfortable
MAC000936,Standard,ACORN-E,Affluent
MAC000957,Standard,ACORN-D,Affluent
MAC000960,Standard,ACORN-E,Affluent
MAC000962,Standard,ACORN-F,Comfortable
MAC000974,Standard,ACORN-A,Affluent
MAC000983,Standard,ACORN-D,Affluent
MAC001007,Standard,ACORN-Q,Adversity
MAC001017,Standard,ACORN-N,Adversity
MAC001028,Standard,ACORN-F,Comfortable
MAC001036,Standard,ACORN-G,Comfortable
MAC001043,Standard,ACORN-E,Affluent
MAC001051,Standard,ACORN-Q,Adversity
MAC001062,Standard,ACORN-Q,Adversity
MAC001066,Standard,ACORN-E,Affluent
MAC001080,Standard,ACORN-F,Comfortable
MAC001085,Standard,ACORN-K,Adversity
MAC001090,Standard,ACORN-F,Comfortable
MAC001112,Standard,ACORN-L,Adversity
MAC001115,Standard,ACORN-E,Affluent
MAC001125,Standard,ACORN-F,Comfortable
MAC001127,Standard,ACORN-L,Adversity
MAC001130,Standard,ACORN-E,Affluent
MAC001131,Standard,ACORN-Q,Adversity
MAC001139,Standard,ACORN-F,Comfortable
MAC001140,Standard,ACORN-C,Affluent
MAC001154,Standard,ACORN-E,Affluent
MAC001160,Standard,ACORN-E,Affluent
MAC001174,Standard,ACORN-L,Adversity
MAC001176,Standard,ACORN-Q,Adversity
MAC001193,Standard,ACORN-Q,Adversity
MAC001196,Standard,ACORN-E,Affluent
MAC001197,Standard,ACORN-F,Comfortable
MAC001199,Standard,ACORN-E,Affluent
MAC001210,Standard,ACORN-F,Comfortable
MAC001212,Standard,ACORN-N,Adversity
MAC001242,Standard,ACORN-F,Comfortable
MAC001243,Standard,ACORN-Q,Adversity
MAC001250,Standard,ACORN-J,Comfortable
MAC001253,Standard,ACORN-G,Comfortable
MAC001259,Standard,ACORN-I,Comfortable
MAC001265,Standard,ACORN-F,Comfortable
MAC001275,Standard,ACORN-Q,Adversity
MAC001286,Standard,ACORN-K,Adversity
MAC001289,Standard,ACORN-Q,Adversity
MAC001291,Standard,ACORN-O,Adversity
MAC001325,Standard,ACORN-E,Affluent
MAC001339,Standard,ACORN-M,Adversity
MAC001349,Standard,ACORN-P,Adversity
MAC001355,Standard,ACORN-M,Adversity
MAC001358,Standard,ACORN-E,Affluent
MAC001367,Standard,ACORN-E,Affluent
MAC001368,Standard,ACORN-F,Comfortable
MAC001377,Standard,ACORN-F,Comfortable
MAC001389,Standard,ACORN-Q,Adversity
MAC001391,Standard,ACORN-F,Comfortable
MAC001395,Standard,ACORN-C,Affluent
MAC001408,Standard,ACORN-H,Comfortable
MAC001411,Standard,ACORN-E,Affluent
MAC001416,Standard,ACORN-E,Affluent
MAC001419,Standard,ACORN-G,Comfortable
MAC001426,Standard,ACORN-Q,Adversity
MAC001428,Standard,ACORN-Q,Adversity
MAC001441,Standard,ACORN-Q,Adversity
MAC001456,Standard,ACORN-M,Adversity
MAC001460,Standard,ACORN-Q,Adversity
MAC001462,Standard,ACORN-H,Comfortable
MAC001469,Standard,ACORN-E,Affluent
MAC001473,Standard,ACORN-G,Comfortable
MAC001474,Standard,ACORN-L,Adversity
MAC001481,Standard,ACORN-F,Comfortable
MAC001483,Standard,ACORN-Q,Adversity
MAC001503,Standard,ACORN-Q,Adversity
MAC001510,Standard,ACORN-A,Affluent
MAC001515,Standard,ACORN-F,Comfortable
MAC001517,Standard,ACORN-E,Affluent
MAC001519,Standard,ACORN-E,Affluent
MAC001526,Standard,ACORN-E,Affluent
MAC001533,Standard,ACORN-A,Affluent
MAC001541,Standard,ACORN-E,Affluent
MAC001545,Standard,ACORN-Q,Adversity
MAC001551,Standard,ACORN-N,Adversity
MAC001555,Standard,ACORN-N,Adversity
MAC001563,Standard,ACORN-F,Comfortable
MAC001568,Standard,ACORN-J,Comfortable
MAC001577,Standard,ACORN-E,Affluent
MAC001581,Standard,ACORN-K,Adversity
MAC001582,Standard,ACORN-Q,Adversity
MAC001604,Standard,ACORN-M,Adversity
MAC001618,Standard,ACORN-H,Comfortable
MAC001621,Standard,ACORN-N,Adversity
MAC001623,Standard,ACORN-E,Affluent
MAC001627,Standard,ACORN-N,Adversity
MAC001634,Standard,ACORN-J,Comfortable
MAC001638,Standard,ACORN-D,Affluent
MAC001657,Standard,ACORN-Q,Adversity
MAC001662,Standard,ACORN-E,Affluent
MAC001675,Standard,ACORN-N,Adversity
MAC001683,Standard,ACORN-N,Adversity
MAC001713,Standard,ACORN-E,Affluent
MAC001730,Standard,ACORN-E,Affluent
MAC001734,Standard,ACORN-A,Affluent
MAC001747,Standard,ACORN-Q,Adversity
MAC001760,Standard,ACORN-F,Comfortable
MAC001762,Standard,ACORN-O,Adversity
MAC001766,Standard,ACORN-D,Affluent
