,0
0,0
1,3
2,4
3,2
4,1
5,2
6,4
7,3
8,4
9,1
10,0
11,3
12,3
13,0
14,3
15,0
16,3
17,2
18,4
19,2
20,1
21,0
22,0
23,4
24,2
25,2
26,3
27,2
28,3
29,1
30,2
31,2
32,2
33,0
34,0
35,2
36,4
37,0
38,0
39,4
40,2
41,4
42,3
43,0
44,0
45,1
46,1
47,4
48,4
49,4
50,0
51,1
52,0
53,1
54,4
55,1
56,0
57,0
58,2
59,2
60,2
61,1
62,3
63,3
64,0
65,0
66,4
67,1
68,4
69,1
70,3
71,0
72,0
73,2
74,2
75,4
76,2
77,4
78,0
79,0
80,3
81,2
82,1
83,2
84,4
85,1
86,2
87,3
88,2
89,4
90,3
91,4
92,1
93,1
94,4
95,1
96,0
97,4
98,2
99,3
100,0
101,2
102,2
103,0
104,2
105,4
106,0
107,3
108,2
109,0
110,4
111,2
112,3
113,0
114,0
115,1
116,3
117,0
118,2
119,2
120,2
121,4
122,1
123,4
124,1
125,4
126,3
127,4
128,0
129,3
130,0
131,3
132,3
133,1
134,0
135,2
136,2
137,4
138,2
139,0
140,1
141,3
142,0
143,0
144,4
145,4
146,3
147,1
148,2
149,4
150,0
151,0
152,3
153,4
154,4
155,2
156,2
157,4
158,1
159,4
160,2
161,3
162,4
163,3
164,0
165,3
166,1
167,3
168,3
169,1
170,1
171,3
172,3
173,4
174,2
175,1
176,4
177,2
178,1
179,1
180,3
181,3
182,0
183,4
184,0
185,4
186,3
187,0
188,0
189,2
190,1
191,0
192,0
193,2
194,2
195,2
196,3
197,1
198,2
199,3
200,1
201,1
202,1
203,0
204,2
205,1
206,3
207,2
208,2
209,4
210,1
211,4
212,1
213,1
214,2
215,0
216,4
217,2
218,2
219,0
220,3
221,1
222,0
223,2
224,3
225,0
226,0
227,4
228,1
229,3
230,2
231,1
232,3
233,1
234,1
235,3
236,3
237,3
238,1
239,2
240,1
241,3
242,2
243,0
244,2
245,2
246,3
247,3
248,4
249,1
250,1
251,3
252,3
253,0
254,2
255,1
256,2
257,2
258,0
259,0
260,2
261,4
262,1
263,3
264,4
265,1
266,2
267,4
268,1
269,3
270,4
271,2
272,4
273,2
274,0
275,3
276,4
277,4
278,1
279,2
280,2
281,2
282,3
283,2
284,2
285,0
286,4
287,4
288,4
289,4
290,3
291,4
292,0
293,2
294,3
295,0
296,2
297,3
298,4
299,3
300,4
301,2
302,2
303,3
304,0
305,1
306,1
307,3
308,1
309,4
310,4
311,0
312,3
313,0
314,4
315,1
316,4
317,4
318,1
319,0
320,2
321,4
322,3
323,3
324,1
325,0
326,4
327,1
328,4
